option,question
努力型,努力型か天才型か
天才型,努力型か天才型か
暖色系,色で表すなら暖色系か寒色系か
寒色系,色で表すなら暖色系か寒色系か
直感的に解く,問題をどのように解くか
論理的に解く,問題をどのように解くか
変革を求めるイノベーター,革新派か保守派か
現状維持の保守派,革新派か保守派か
他者基準,他者基準か自己基準か
自己基準,他者基準か自己基準か
楽観的,楽観的か心配性か
心配性,楽観的か心配性か
プロセス重視,プロセス重視型か結果重視型か
結果重視,プロセス重視型か結果重視型か
親しみやすい感じで接しそう,後輩には
上下関係を重んじそう,後輩には
友達をとりそう,友達と恋人どちらかを選ぶとき
恋人をとりそう,友達と恋人どちらかを選ぶとき
巻かれてそう,長いものに
巻かれてなさそう,長いものに
追ってそう,恋愛するときは
追われてそう,恋愛するときは
顔を重視するタイプ,異性に対して
性格を重視するタイプ,異性に対して
恋人,この人が無人島に持っていきそうなものは
ナイフ,この人が無人島に持っていきそうなものは
大量の日本酒,この人が無人島に持っていきそうなものは
お守り,この人が無人島に持っていきそうなものは
遊びまくる,もしも「余命1週間」と言われたら
慈善活動を始める,もしも「余命1週間」と言われたら
感謝の手紙を書く,もしも「余命1週間」と言われたら
いつも通り生活する,もしも「余命1週間」と言われたら
防壁を立てる,もしもゾンビの世界に転生されたら
倒しにいく,もしもゾンビの世界に転生されたら
泣きわめく,もしもゾンビの世界に転生されたら
ゾンビと友達になる,もしもゾンビの世界に転生されたら
一発ギャグ,世界中の人に声が届くとしたら何を言いそう？
世界平和について,世界中の人に声が届くとしたら何を言いそう？
怒りの雄叫び,世界中の人に声が届くとしたら何を言いそう？
小さい声で挨拶,世界中の人に声が届くとしたら何を言いそう？
人見知り,この人との初対面の印象は
気さく,この人との初対面の印象は
ちょっと怖い,この人との初対面の印象は
面白い,この人との初対面の印象は
宝くじが当たったから,この人がとても喜んでいます。なぜ？
好きな人と結ばれたから,この人がとても喜んでいます。なぜ？
友達の命が救われたから,この人がとても喜んでいます。なぜ？
試験に合格したから,この人がとても喜んでいます。なぜ？
お金,この人が人生で最も重視してるものは
愛と友情,この人が人生で最も重視してるものは
今の楽しさ,この人が人生で最も重視してるものは
仕事,この人が人生で最も重視してるものは
ツッコミ,漫才をするなら
ボケ,漫才をするなら
冷静に状況を紙に書く,窮地に立たされたとき
ニヤッと笑う,窮地に立たされたとき
泣き続ける,窮地に立たされたとき
諦める決心をする,窮地に立たされたとき
特攻隊長,雪合戦でのこの人の役回りは
後方支援,雪合戦でのこの人の役回りは
総指揮官,雪合戦でのこの人の役回りは
策略家,雪合戦でのこの人の役回りは
豪遊する,もしも宝くじで1億円が当たったら
全額寄付する,もしも宝くじで1億円が当たったら
投資する,もしも宝くじで1億円が当たったら
親孝行に使う,もしも宝くじで1億円が当たったら
ライオン,この人を動物に例えるなら
犬,この人を動物に例えるなら
猫,この人を動物に例えるなら
ナマケモノ,この人を動物に例えるなら
周りからの感謝,仕事で何にやりがいを感じてそう？
自己の成長,仕事で何にやりがいを感じてそう？
給与,仕事で何にやりがいを感じてそう？
昇格,仕事で何にやりがいを感じてそう？
スポーティで活発系,好きそうな異性のタイプは
現実的でしっかり者系,好きそうな異性のタイプは
受身でシャイ系,好きそうな異性のタイプは
ガツガツの肉食系,好きそうな異性のタイプは
回すのが多い,飲み会の場では
話すのが多い,飲み会の場では
聞くのが多い,飲み会の場では
大体酔ってる,飲み会の場では
強い,酒への耐性は
みんなと一緒くらい,酒への耐性は
弱い,酒への耐性は